size,num_locks,threads,bench,throughput
4096,2000,8,broken_batch_1,0.778299
4096,2000,16,broken_batch_1,1.4098646000000001
4096,2000,1,broken_batch_32,1.0467264
4096,2000,2,broken_batch_32,1.7781312
4096,2000,4,broken_batch_32,2.4128448
4096,2000,8,broken_batch_32,2.6960287999999997
4096,2000,16,broken_batch_32,2.8321216000000002
4096,2000,1,rc_batch_32,1.2004544
4096,2000,2,rc_batch_32,1.9009376
4096,2000,4,rc_batch_32,2.3184288
4096,2000,8,rc_batch_32,2.595584
4096,2000,16,rc_batch_32,2.7548352
4096,2000,1,rcopt_batch_32,1.5256928
4096,2000,2,rcopt_batch_32,2.2003168
4096,2000,4,rcopt_batch_32,2.509696
4096,2000,8,rcopt_batch_32,2.6560352000000003
4096,2000,16,rcopt_batch_32,2.7940224
4096,2000,1,farm_fixed_nomemcpy_batch_1,0.166386
4096,2000,2,farm_fixed_nomemcpy_batch_1,0.33319879999999996
4096,2000,4,farm_fixed_nomemcpy_batch_1,0.6618756
4096,2000,8,farm_fixed_nomemcpy_batch_1,1.3069298999999999
4096,2000,16,farm_fixed_nomemcpy_batch_1,2.4187024
4096,2000,1,farm_fixed_nomemcpy_batch_32,1.366992
4096,2000,2,farm_fixed_nomemcpy_batch_32,2.1137183999999998
4096,2000,4,farm_fixed_nomemcpy_batch_32,2.9803456
4096,2000,8,farm_fixed_nomemcpy_batch_32,2.980368
4096,2000,16,farm_fixed_nomemcpy_batch_32,2.9770176
4096,2000,1,farm_fixed_memcpy_batch_1,0.1617208
4096,2000,2,farm_fixed_memcpy_batch_1,0.3028327
4096,2000,4,farm_fixed_memcpy_batch_1,0.6088783000000001
4096,2000,8,farm_fixed_memcpy_batch_1,1.0699592
4096,2000,16,farm_fixed_memcpy_batch_1,1.7207891000000002
4096,2000,1,farm_fixed_memcpy_batch_32,1.0850624
4096,2000,2,farm_fixed_memcpy_batch_32,0.7556288000000001
4096,2000,4,farm_fixed_memcpy_batch_32,1.365808
4096,2000,8,farm_fixed_memcpy_batch_32,2.2138272000000003
4096,2000,16,farm_fixed_memcpy_batch_32,2.679392
8192,2000,1,pessimistic_batch_1,0.1471759
8192,2000,2,pessimistic_batch_1,0.29420040000000003
8192,2000,4,pessimistic_batch_1,0.5846475999999999
8192,2000,8,pessimistic_batch_1,1.1008642
